,店名,住所,電話番号（0544）,営業時間（休憩時間含）,休 日,受入人数,駐車場,焼き方:店,焼き方:客,料 金,lon_lat,lon,lat
0,すぎ本（お宮横丁）,宮町4-23,24-8272,10:30-16:00,火曜日,お宮横丁,無,○,,300～600円,"(35.224991, 138.610199)",138.610199,35.224991
1,お食事処岩市,大宮町8-18,27-7153,11:00-20:00,水曜日,28＋座敷7間,2,○,,600-780円,"(35.224586, 138.611572)",138.611572,35.224586
2,ままん,大宮町5-17,29-6288,11:00-14:0018:00-22:00,水・木曜日,26,無,○,,600円,"(35.22504, 138.611862)",138.611862,35.22504
3,みっちゃん家,宝町11-24,27-5305,11:00-15:00(LO14:30),水曜日第１・３日曜日,8＋座敷2間,5,○,,350-600円,"(35.229198, 138.604813)",138.604813,35.229198
4,わびすけ,野中町806,23-8578,11:30-14:0014:30-22:00(LO21:00),水曜日,54,25,○,,620-980円,"(35.216354, 138.606567)",138.606567,35.216354
5,ろばた焼一心,東阿幸地245,26-1240,,,,,,,,"(35.231007, 138.624725)",138.624725,35.231007
6,おざわ酒店,ひばりが丘6,27-4706,11:00-20:00,火曜日,16,2,○,,450-600円大盛り+100円,"(35.236752, 138.616074)",138.616074,35.236752
7,安曇野,富士見ヶ丘628,23-4256,,,,,,,,"(35.235474, 138.623306)",138.623306,35.235474
8,むすび屋,宮町4-23,25-2144,月曜のみ11:00-15:0010:00-18:00,無休,お宮横丁,無,○,,500円,"(35.224991, 138.610199)",138.610199,35.224991
9,つかさ,上井出276-7,54-0033,10:00-18:00,無休,36,5,○,,650円,"(35.325951, 138.605484)",138.605484,35.325951
10,かいじ,上井出141-1,54-2500,9:00-20:00,無休,18,10,○,,400-600円,"(35.306538, 138.595825)",138.595825,35.306538
11,豊延,下条1611-1,58-5454,11:00-14:0017:00-22:00,水曜日,25,10,○,,350円大盛り+100円ﾄｯﾋﾟﾝｸﾞ+50円しぐれ+100円,"(35.262058, 138.577682)",138.577682,35.262058
12,とおり道,源道寺町1295,22-3039,,,,,,,,"(35.215176, 138.626831)",138.626831,35.215176
13,あおい,淀師1117-6,22-3344,10:00-21:00,火曜日,24座敷有り車いす可,10ﾏｲｸﾛﾊﾞｽ可,○,○,450-600円大盛り+100円もやし+50円,"(35.243034, 138.609512)",138.609512,35.243034
14,ペイジ,錦町8-25,23-8101,11:30-19:00,日曜日,20,5,○,,600円,"(35.219212, 138.615936)",138.615936,35.219212
15,ふじの食堂,万野腹新田2917,27-4305,11:00-14:0017:00-21:30,月曜日,ｶｳﾝﾀｰ6席＋24,8,○,,950円,"(35.251904, 138.624863)",138.624863,35.251904
16,富士山にこにこ長屋,山宮517-2,58-6485,10:30-20:00,火曜日,70,30,○,,500円,"(35.267826, 138.634811)",138.634811,35.267826
17,ふくじん,東町14-3,27-7162,11:00-14:0016:30-21:00,月曜日,座敷12＋15,2,○,,500-600円,"(35.223274, 138.616745)",138.616745,35.223274
18,ふくいや,浅間町8-5,26-4698,11:30-19:00,日曜日,15,5,○,,450-700円大盛り+100円ﾄｯﾋﾟﾝｸﾞ+50円,"(35.218826, 138.611862)",138.611862,35.218826
19,平石屋,上井出261-1,54-0068,9:00-16:00,不定,70,6,○,,630円,"(35.310333, 138.590286)",138.590286,35.310333
20,夢千代,東町11-5,27-6179,11:00-24:00,不定,30座敷有り,20,○,,380-600円,"(35.223877, 138.618988)",138.618988,35.223877
21,あご山,安居山832-5,25-6188,17:00－22:00,月曜日,13,5,○,,500円～,"(35.215862, 138.586578)",138.586578,35.215862
22,ふくろう,粟倉56-1,22-0296,11:00－23:00,第１･３月火,17,8,○,,350～800円,"(35.249496, 138.646347)",138.646347,35.249496
23,丸太,粟倉南町94-3,24-7607,17:00－24:00,日曜日,13,10,○,,350～500円,"(35.25161, 138.637741)",138.637741,35.25161
24,まかいの牧場内 ぼんぼり,内野馬飼野牧場内,090-2772-4897,8:00－18:00,なし,5000,500,○,,500円,"(35.335857, 138.57785)",138.57785,35.335857
25,おのちゃん,大岩388-3,24-0906,11:00－21:00,木曜日,6～10,8,○,,400～650円,"(35.243511, 138.629059)",138.629059,35.243511
26,泉花,大岩1565-1,26-1446,12:00－21:00,火曜日,17～20,3,○,,400～700円,"(35.230549, 138.640533)",138.640533,35.230549
27,祭りや,大中里1444-18,27-9712,11:00－14:00,月・火曜日,25,10,○,○,400～500円,"(35.216782, 138.592056)",138.592056,35.216782
